ncalls,tottime,percall,cumtime,percall,filename:lineno(function),,,,,,,
141825,757.863,0.005,757.863,0.005,{method 'acquire' of '_multiprocessing.SemLock' objects},,,
28389,93.391,0.003,93.391,0.003,{waitKey},,,,,,,
28264,31.61,0.001,71.986,0.003,MultiplePeopleCounter.py:589(head_contours_extraction),,,,,,,
349534,14.237,0,14.237,0,{findContours},,,,,,,
397442,8.805,0,8.805,0,{drawContours},,,,,,,
301487/244959,5.408,0,11.325,0,{built-in method numpy.core._multiarray_umath.implement_array_function},,,,,
28265,4.984,0,5.61,0,MultiplePeopleCounter.py:487(image_pre_processing),,,,,,,
349791,4.794,0,4.794,0,{minMaxLoc},,,,,,,
56528,3.773,0,3.773,0,{morphologyEx},,,,,,,
28264,3.629,0,11.254,0,MultiplePeopleCounter.py:518(binarize_frame),,,,,,,
784118,2.548,0,2.548,0,{built-in method numpy.zeros},,,,,
108687,2.536,0,2.536,0,{putText},,,,,,,
9421,2.325,0,3.064,0,MultiplePeopleCounter.py:552(background_recalculation),,,,,,,
84793,2.123,0,2.123,0,{method 'reduce' of 'numpy.ufunc' objects},,,
1771658,2.057,0,2.057,0,{contourArea},,,,,,,
28264,1.917,0,6.853,0,MultiplePeopleCounter.py:716(visualization),,,,,,,
349534,1.689,0,3.747,0,MultiplePeopleCounter.py:633(<listcomp>),,,,,,,
1,1.67,1.67,964.257,964.257,MultiplePeopleCounter.py:907(run),,,,,,,
28266,1.496,0,1.496,0,{built-in method today},,,,,
28264,1.472,0,1.472,0,{imshow},,,,,,,
28388,0.976,0,759.069,0.027,synchronize.py:248(wait),,,,,,,
28264,0.97,0,2.72,0,nanfunctions.py:229(nanmin),,,,,,,
28390,0.969,0,764.272,0.027,MultiplePeopleCounter.py:803(get_frame),,,,,,,
28264,0.847,0,0.847,0,{namedWindow},,,,,,,
28372,0.797,0,0.797,0,{built-in method numpy.array},,,,,
28264,0.717,0,1.291,0,Trackers.py:173(track_contours),,,,,,,
37686,0.597,0,0.597,0,{method 'astype' of 'numpy.ndarray' objects},,,
28264,0.556,0,0.556,0,{cvtColor},,,,,,,
56655,0.539,0,0.539,0,{method '__enter__' of '_multiprocessing.SemLock' objects},,,
28390,0.524,0,760.283,0.027,synchronize.py:356(wait),,,,,,,
312755,0.475,0,0.475,0,{line},,,,,,,
28265,0.449,0,0.449,0,{built-in,method,numpy.frombuffer},,,,,
57008,0.423,0,0.423,0,{built-in,method,builtins.round},,,,,
28264,0.404,0,1.493,0,numeric.py:97(zeros_like),,,,,,,
103634,0.378,0,4.778,0,<__array_function__,internals>:2(where),,,,,,
113435,0.354,0,0.354,0,{method,'release',of,'_multiprocessing.SemLock',objects},,,
28389,0.325,0,93.717,0.003,MultiplePeopleCounter.py:833(wait_for_key),,,,,,,
56655,0.313,0,0.313,0,{method,'__exit__',of,'_multiprocessing.SemLock',objects},,,
28265,0.307,0,1.078,0,fromnumeric.py:73(_wrapreduction),,,,,,,
1001088/1000432,0.236,0,0.237,0,{built-in,method,builtins.len},,,,,
28264,0.226,0,0.641,0,{method,'any',of,'numpy.generic',objects},,,
28264,0.213,0,1.291,0,fromnumeric.py:2504(amax),,,,,,,
28264,0.211,0,1.707,0,MultiplePeopleCounter.py:425(check_daily_reset),,,,,,,
28265,0.209,0,1.103,0,synchronize.py:352(clear),,,,,,,
28265,0.206,0,1.249,0,<__array_function__,internals>:2(copy),,,,,,
12902,0.196,0,0.196,0,{moments},,,,,,,
56530,0.192,0,0.739,0,<__array_function__,internals>:2(copyto),,,,,,
28265,0.184,0,0.184,0,{method,'reshape',of,'numpy.ndarray',objects},,,
56655,0.182,0,0.626,0,synchronize.py:233(__exit__),,,,,,,
35612,0.18,0,0.18,0,{pointPolygonTest},,,,,,,
28264,0.16,0,0.428,0,<__array_function__,internals>:2(empty_like),,,,,,
28264,0.154,0,1.759,0,<__array_function__,internals>:2(zeros_like),,,,,,
28266,0.148,0,0.637,0,numeric.py:166(ones),,,,,,,
28266,0.14,0,0.14,0,{built-in,method,numpy.empty},,,,,
56655,0.135,0,0.674,0,synchronize.py:95(__enter__),,,,,,,
56655,0.134,0,0.808,0,synchronize.py:230(__enter__),,,,,,,
56655,0.132,0,0.444,0,synchronize.py:98(__exit__),,,,,,,
23895,0.122,0,0.291,0,Counters.py:123(update_count),,,,,,,
28264,0.119,0,0.146,0,FpsEstimator.py:25(tick),,,,,,,
28265,0.118,0,0.916,0,function_base.py:745(copy),,,,,,,
28264,0.11,0,1.479,0,<__array_function__,internals>:2(amax),,,,,,
28264,0.105,0,2.917,0,<__array_function__,internals>:2(nanmin),,,,,,
28264,0.099,0,0.146,0,Trackers.py:86(maintain_tracking_list),,,,,,,
28265,0.087,0,0.087,0,fromnumeric.py:74(<dictcomp>),,,,,,,
28264,0.064,0,0.414,0,_methods.py:44(_any),,,,,,,
28264,0.062,0,0.424,0,FpsEstimator.py:42(get_fps),,,,,,,
103634,0.062,0,0.062,0,multiarray.py:312(where),,,,,,,
12029,0.058,0,0.058,0,{rectangle},,,,,,,
23185,0.052,0,0.061,0,{method,'sort',of,'list',objects},,,
28264,0.045,0,0.335,0,Counters.py:62(update_count_multi),,,,,,,
28363,0.038,0,0.038,0,MultiplePeopleCounter.py:229(get_count_out),,,,,,,
56530,0.037,0,0.037,0,multiarray.py:1043(copyto),,,,,,,
28265,0.036,0,0.036,0,sharedctypes.py:201(get_obj),,,,,,,
12029,0.036,0,0.036,0,{circle},,,,,,,
11156,0.035,0,0.077,0,Person.py:80(update_location),,,,,,,
11156,0.032,0,0.042,0,Person.py:41(update_location),,,,,,,
319,0.032,0,0.032,0,{built-in,method,marshal.loads},,,,,
317,0.031,0,0.031,0,{built-in,method,builtins.compile},,,,,
28264,0.029,0,0.029,0,MultiplePeopleCounter.py:449(push_data_interval),,,,,,,
12029,0.029,0,0.029,0,{boundingRect},,,,,,,
28363,0.027,0,0.027,0,MultiplePeopleCounter.py:225(get_count_in),,,,,,,
28265,0.027,0,0.027,0,function_base.py:741(_copy_dispatcher),,,,,,,
28264,0.025,0,0.025,0,numeric.py:93(_zeros_like_dispatcher),,,,,,,
611,0.025,0,0.025,0,{built-in,method,builtins.print},,,,,
28264,0.023,0,0.023,0,fromnumeric.py:2499(_amax_dispatcher),,,,,,,
100109,0.023,0,0.023,0,{method,'append',of,'list',objects},,,
28264,0.022,0,0.022,0,nanfunctions.py:225(_nanmin_dispatcher),,,,,,,
26,0.021,0.001,0.022,0.001,{built-in,method,_imp.create_dynamic},,,,,
28427,0.021,0,0.021,0,{method,'items',of,'dict',objects},,,
28264,0.02,0,0.02,0,multiarray.py:77(empty_like),,,,,,,
24265,0.019,0,0.019,0,{method,'pop',of,'list',objects},,,
28263,0.018,0,0.018,0,{method,'popleft',of,'collections.deque',objects},,,
28388,0.016,0,0.016,0,{method,'_is_mine',of,'_multiprocessing.SemLock',objects},,,
1035/1032,0.015,0,0.03,0,{built-in,method,builtins.__build_class__},,,,,
23895,0.015,0,0.015,0,Person.py:62(get_loc),,,,,,,
23241,0.014,0,0.014,0,Person.py:56(age_one),,,,,,,
28265,0.012,0,0.012,0,{method,'append',of,'collections.deque',objects},,,
28388,0.011,0,0.011,0,{method,'_count',of,'_multiprocessing.SemLock',objects},,,
21215,0.01,0,0.01,0,Trackers.py:207(<lambda>),,,,,,,
14773,0.01,0,0.01,0,{method,'index',of,'list',objects},,,
11165,0.009,0,0.009,0,{method,'insert',of,'list',objects},,,
658/1,0.008,0,964.564,964.564,{built-in,method,builtins.exec},,,,,
531/106,0.008,0,0.023,0,sre_parse.py:491(_parse),,,,,,,
873,0.008,0,0.012,0,Person.py:24(__init__),,,,,,,
873,0.006,0,0.026,0,Counters.py:149(get_final_count),,,,,,,
648,0.006,0,0.022,0,<frozen,importlib._bootstrap_external>:1215(find_spec),,,,,,
4189,0.006,0,0.006,0,{method,'format',of,'str',objects},,,
642,0.006,0,0.006,0,{method,'sub',of,'_sre.SRE_Pattern',objects},,,
