Time,In,Out
1572946494.0444407,0,1
1572946494.150191,0,2
1572946508.583718,1,2
1572946512.0773215,1,3
1572946860.9510162,1,3
Time,In,Out
1572947289.5187755,1,4
1572947289.6534362,1,5
1572947420.794323,1,5
Time,In,Out
1572947497.874528,1,5
Time,In,Out
1572948025.8242981,1,5
Time,In,Out
1572948091.6251953,1,5
Time,In,Out
1572950641.7611153,1,5
Time,In,Out
1572951459.080885,1,6
1572951460.3148685,1,7
1572951460.548053,1,8
1572951464.03084,2,8
1572951472.6714876,2,9
1572951472.7378013,3,9
1572951477.781283,4,9
1572951477.8163526,5,9
1572951479.0620172,5,10
1572951479.932214,5,11
1572951480.3102405,6,11
1572951484.6869357,6,12
1572951484.9618356,6,13
1572951489.8065674,6,14
1572951540.467984,7,14
1572951540.6832182,8,14
1572951542.073103,9,14
1572951542.307316,10,14
1572951543.6117814,11,14
1572951543.7101758,12,14
1572951550.1708343,12,15
1572951550.645508,13,15
1572951551.5549293,14,15
1572951551.6460733,14,16
1572951583.9305596,15,16
1572951583.9967277,15,17
1572951597.60376,16,17
1572951617.9833448,16,18
1572951622.9146209,16,19
1572951625.6640556,16,20
1572951628.4484172,16,21
1572951628.479161,17,21
1572951630.8354373,17,22
1572951633.6195407,17,23
1572951634.552144,18,23
1572951659.4268086,19,23
1572951689.0252705,19,24
1572951689.2951424,19,25
1572951691.5457056,19,26
1572951693.702961,20,26
1572951695.0824654,20,27
1572951696.3689737,20,28
1572951849.302808,20,29
1572951854.852287,20,30
1572951856.7047377,20,31
1572951856.7745032,20,32
1572951857.747575,21,32
1572951868.0726016,21,33
1572951870.421209,21,34
1572951873.996883,22,34
1572951965.3780174,22,35
1572951966.0902936,22,36
1572951972.232752,22,37
1572951972.6683617,22,38
1572951972.999503,22,39
1572951973.5404167,22,40
1572951976.3884869,22,41
1572951976.6814017,22,42
1572951978.7523053,23,42
1572951989.218718,23,43
1572951992.2593973,23,44
1572951993.0311117,23,45
1572951993.335879,24,45
1572952025.123666,24,46
1572952025.2114518,25,46
1572952027.4958892,25,47
1572952027.664261,26,47
1572952029.3853242,27,47
1572952029.4545536,27,48
1572952058.9712265,27,49
1572952062.701056,27,50
1572952082.238464,27,51
1572952098.334936,27,52
1572952104.2139585,27,53
1572952105.222687,28,53
1572952105.3537276,29,53
1572952105.3925245,29,54
1572952113.097487,29,55
1572952114.452019,29,56
1572952118.616576,29,57
1572952172.4722395,29,58
1572952175.8591368,29,59
1572952180.7608593,30,59
1572952184.829253,30,60
1572952187.4165661,30,61
1572952187.849362,30,62
1572952188.2172563,30,63
1572952190.9000607,30,64
1572952192.1314008,30,65
1572952192.474963,31,65
1572952195.8163207,31,66
1572952196.2501955,31,67
1572952196.4878922,32,67
1572952287.98215,32,68
1572952292.6191,32,69
1572952295.950315,32,70
1572952296.221187,32,71
1572952371.446878,32,72
1572952376.0426996,32,72
