CMDLINE /usr/bin/python3 main.py
MEM 3.769531 1578323575.1264
MEM 22.171875 1578323575.2346
MEM 36.074219 1578323575.3407
MEM 45.253906 1578323575.4546
MEM 51.234375 1578323575.5663
MEM 154.414062 1578323575.6728
MEM 174.128906 1578323575.7868
MEM 174.128906 1578323575.9011
MEM 174.128906 1578323576.0269
MEM 174.128906 1578323576.1548
MEM 174.128906 1578323576.2677
MEM 174.128906 1578323576.3953
MEM 174.128906 1578323576.5251
MEM 174.128906 1578323576.6454
MEM 174.128906 1578323576.7711
MEM 174.128906 1578323576.8854
MEM 174.128906 1578323576.9958
MEM 174.128906 1578323577.1234
MEM 174.128906 1578323577.2456
MEM 174.128906 1578323577.3727
MEM 174.128906 1578323577.4990
MEM 174.128906 1578323577.6249
MEM 174.128906 1578323577.7521
MEM 174.128906 1578323577.8791
MEM 174.128906 1578323578.0050
MEM 174.128906 1578323578.1126
MEM 174.128906 1578323578.2237
MEM 174.128906 1578323578.3475
MEM 174.128906 1578323578.4742
MEM 174.128906 1578323578.5824
MEM 174.128906 1578323578.7086
MEM 174.128906 1578323578.8333
MEM 174.128906 1578323578.9610
MEM 174.128906 1578323579.0753
MEM 174.128906 1578323579.1899
MEM 174.128906 1578323579.3050
MEM 174.128906 1578323579.4183
MEM 174.128906 1578323579.5277
MEM 174.128906 1578323579.6533
MEM 174.128906 1578323579.7807
MEM 174.128906 1578323579.9069
MEM 174.128906 1578323580.0357
MEM 174.128906 1578323580.1485
MEM 178.796875 1578323580.2735
MEM 178.796875 1578323580.3992
MEM 178.796875 1578323580.5204
MEM 178.796875 1578323580.6426
MEM 178.796875 1578323580.7729
MEM 178.796875 1578323580.9042
MEM 178.796875 1578323581.0315
MEM 178.796875 1578323581.1413
MEM 178.796875 1578323581.2544
MEM 178.796875 1578323581.3814
MEM 178.796875 1578323581.5091
MEM 178.796875 1578323581.6377
MEM 178.796875 1578323581.7538
MEM 178.796875 1578323581.8814
MEM 178.796875 1578323582.0094
MEM 178.796875 1578323582.1391
MEM 178.796875 1578323582.2670
MEM 178.796875 1578323582.3956
MEM 178.796875 1578323582.5265
MEM 178.796875 1578323582.6519
