ncalls tottime percall cumtime percall filename:lineno(function)
19 0.000 0.000 0.000 0.000 :0(POINTER)
2 0.000 0.000 0.000 0.000 :0(S_ISLNK)
1 0.000 0.000 0.000 0.000 :0(WEXITSTATUS)
1 0.000 0.000 0.000 0.000 :0(WIFEXITED)
1 0.000 0.000 0.000 0.000 :0(WIFSIGNALED)
1037/1034 0.024 0.000 0.089 0.000 :0(__build_class__)
117 0.000 0.000 0.000 0.000 :0(__contains__)
5628 0.080 0.000 0.080 0.000 :0(__enter__)
5628 0.025 0.000 0.025 0.000 :0(__exit__)
1 0.000 0.000 0.000 0.000 :0(__getitem__)
357/28 0.003 0.000 1.044 0.037 :0(__import__)
850 0.005 0.000 0.005 0.000 :0(__new__)
25 0.000 0.000 0.000 0.000 :0(__subclasses__)
25 0.000 0.000 0.000 0.000 :0(__subclasshook__)
2870 0.007 0.000 0.007 0.000 :0(_count)
15 0.000 0.000 0.000 0.000 :0(_filters_mutated)
320 0.001 0.000 0.001 0.000 :0(_fix_co_filename)
584 0.001 0.000 0.001 0.000 :0(_getframe)
2870 0.009 0.000 0.009 0.000 :0(_is_mine)
1 0.000 0.000 0.000 0.000 :0(_set_sentinel)
72 0.000 0.000 0.000 0.000 :0(abs)
14262 0.268 0.000 0.268 0.000 :0(acquire)
1197 0.002 0.000 0.002 0.000 :0(acquire_lock)
271 0.002 0.000 0.002 0.000 :0(add)
298 0.001 0.000 0.001 0.000 :0(add_docstring)
6 0.000 0.000 0.000 0.000 :0(addressof)
780 0.002 0.000 0.002 0.000 :0(allocate_lock)
3124 0.033 0.000 0.080 0.000 :0(any)
28348 0.060 0.000 0.060 0.000 :0(append)
2860 0.069 0.000 0.069 0.000 :0(array)
3669 0.048 0.000 0.048 0.000 :0(astype)
1 0.000 0.000 0.000 0.000 :0(bind)
6 0.000 0.000 0.000 0.000 :0(bisect_left)
152 0.000 0.000 0.000 0.000 :0(bit_length)
1428 0.007 0.000 0.007 0.000 :0(boundingRect)
