PID,USER,PR,NI,VIRT,RES (Kb),SHR,S,%CPU,%MEM,TIME+,COMMAND
3021,jesus,20,0,1518616,124152,48000,S,"43,5","1,5",00:56.29,python3
3011,jesus,20,0,588032,71076,40304,R,"22,3","0,9",00:35.38,python3
,,,,,,,,,,,
3021,jesus,20,0,1518616,124280,48092,R,"40,9","1,5",01:10.61,python3
3011,jesus,20,0,588032,71076,40304,S,"26,9","0,9",00:44.41,python3
,,,,,,,,,,,
3021,jesus,20,0,1518616,124280,48092,S,"45,7","1,5",01:29.18,python3
3011,jesus,20,0,588032,71076,40304,R,"23,5","0,9",00:55.30,python3
,,,,,,,,,,,
3021,jesus,20,0,1518616,124280,48092,S,"40,1","1,5",01:48.13,python3
3011,jesus,20,0,588032,71076,40304,R,"22,8","0,9",01:06.51,python3
